North American Industry Classification,Fiscal Year,Industry Total Obligation/De-Obligation
FARM MACHINERY AND EQUIPMENT MANUFACTURING,2012,"$169,296.62"
MOTOR AND GENERATOR MANUFACTURING,2012,"$168,050.80"
ALL OTHER MOTOR VEHICLE DEALERS,2012,"$162,233.21"
"OTHER SIMILAR ORGANIZATIONS (EXCEPT BUSINESS, PROFESSIONAL, LABOR, AND POLITICAL ORGANIZATIONS)",2012,"$161,421.40"
EMPLOYMENT PLACEMENT AGENCIES,2012,"$160,153.70"
HUMAN RIGHTS ORGANIZATIONS,2012,"$160,000.00"
MISCELLANEOUS INTERMEDIATION,2012,"$159,000.00"
NEWSPAPER PUBLISHERS,2012,"$157,219.96"
EXECUTIVE OFFICES,2012,"$155,014.65"
INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS,2012,"$152,979.36"
CARPET AND RUG MILLS,2012,"$151,581.45"
FLOORING CONTRACTORS,2012,"$147,208.43"
HEATING OIL DEALERS,2012,"$146,048.86"
ALL OTHER LEGAL SERVICES,2012,"$144,459.75"
POULTRY AND POULTRY PRODUCT MERCHANT WHOLESALERS,2012,"$143,856.00"
PROFESSIONAL EMPLOYER ORGANIZATIONS,2012,"$142,906.97"
ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),2012,"$142,602.42"
URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING,2012,"$140,726.13"
INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS,2012,"$138,784.31"
SIGN MANUFACTURING,2012,"$138,749.25"
PLUMBING AND HEATING EQUIPMENT AND SUPPLIES (HYDRONICS) MERCHANT WHOLESALERS,2012,"$136,754.07"
REFRIGERATION EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2012,"$136,277.76"
MEN'S FOOTWEAR (EXCEPT ATHLETIC) MANUFACTURING,2012,"$135,000.00"
MASONRY CONTRACTORS,2012,"$134,604.00"
ANTHRACITE MINING,2012,"$132,376.50"
PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING,2012,"$131,720.95"
ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,2012,"$131,026.00"
POLICE PROTECTION,2012,"$128,331.73"
PLASTICS MATERIALS AND BASIC FORMS AND SHAPES MERCHANT WHOLESALERS,2012,"$126,943.89"
PLASTICS BAG AND POUCH MANUFACTURING,2012,"$123,997.70"
REGULATION OF AGRICULTURAL MARKETING AND COMMODITIES,2012,"$123,106.22"
ALL OTHER NONDEPOSITORY CREDIT INTERMEDIATION,2012,"$121,042.80"
"POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMER MANUFACTURING",2012,"$119,668.97"
LABOR UNIONS AND SIMILAR LABOR ORGANIZATIONS,2012,"$118,500.00"
"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",2012,"$118,117.47"
PLASTICS PACKAGING FILM AND SHEET (INCLUDING LAMINATED) MANUFACTURING,2012,"$112,364.31"
RESIDENTIAL ELECTRIC LIGHTING FIXTURE MANUFACTURING,2012,"$111,969.94"
TRADEBINDING AND RELATED WORK,2012,"$111,049.33"
"TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING",2012,"$110,979.91"
LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,2012,"$110,171.22"
HOME HEALTH CARE SERVICES,2012,"$108,298.95"
CHILD DAY CARE SERVICES,2012,"$104,000.00"
MINING MACHINERY AND EQUIPMENT MANUFACTURING,2012,"$101,785.27"
ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING,2012,"$100,072.28"
OTHER FABRICATED WIRE PRODUCT MANUFACTURING,2012,"$98,466.80"
BUS AND OTHER MOTOR VEHICLE TRANSIT SYSTEMS,2012,"$94,840.00"
COMMERCIAL PRINTING (EXCEPT SCREEN AND BOOKS),2012,"$94,824.85"
HYDROELECTRIC POWER GENERATION,2012,"$94,341.49"
DRAFTING SERVICES,2012,"$93,779.01"
AUTOMOBILE MANUFACTURING,2012,"$92,419.60"
FINE ARTS SCHOOLS,2012,"$92,352.00"
GLASS AND GLAZING CONTRACTORS,2012,"$88,173.52"
"STATIONERY, TABLET, AND RELATED PRODUCT MANUFACTURING",2012,"$87,243.37"
WARM AIR HEATING AND AIR-CONDITIONING EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2012,"$87,172.92"
GEOPHYSICAL SURVEYING AND MAPPING SERVICES,2012,"$85,434.79"
HARDWARE MERCHANT WHOLESALERS,2012,"$85,384.23"
STEAM AND AIR-CONDITIONING SUPPLY,2012,"$84,163.45"
OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS,2012,"$83,130.39"
OPHTHALMIC GOODS MERCHANT WHOLESALERS,2012,"$82,187.20"
"ELECTRICAL AND ELECTRONIC APPLIANCE, TELEVISION, AND RADIO SET MERCHANT WHOLESALERS",2012,"$81,883.90"
PET CARE (EXCEPT VETERINARY) SERVICES,2012,"$81,570.00"
NEWS SYNDICATES,2012,"$79,952.50"
ELEVATOR AND MOVING STAIRWAY MANUFACTURING,2012,"$74,967.72"
MOTOR VEHICLE BODY MANUFACTURING,2012,"$74,658.84"
PRIMARY SMELTING AND REFINING OF NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM),2012,"$74,479.00"
MACHINE TOOL (METAL CUTTING TYPES) MANUFACTURING,2012,"$74,281.96"
ALL OTHER CONVERTED PAPER PRODUCT MANUFACTURING,2012,"$71,512.09"
DIGITAL PRINTING,2012,"$71,143.68"
USED MERCHANDISE STORES,2012,"$70,375.00"
ELECTRONIC SHOPPING,2012,"$70,128.96"
OTHER LIGHTING EQUIPMENT MANUFACTURING,2012,"$67,612.31"
PET AND PET SUPPLIES STORES,2012,"$66,952.60"
PIPELINE TRANSPORTATION OF NATURAL GAS,2012,"$66,000.00"
SALES FINANCING,2012,"$64,659.85"
BOTTLED WATER MANUFACTURING,2012,"$64,085.11"
SCHEDULED PASSENGER AIR TRANSPORTATION,2012,"$63,269.00"
TRAVEL TRAILER AND CAMPER MANUFACTURING,2012,"$62,986.00"
PHOTOGRAPHIC EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2012,"$62,841.71"
FLOOR COVERING STORES,2012,"$62,342.00"
OTHER BUILDING MATERIAL DEALERS,2012,"$60,627.60"
SPORTS AND RECREATION INSTRUCTION,2012,"$60,065.00"
OTHER TECHNICAL AND TRADE SCHOOLS,2012,"$60,000.00"
PUMP AND PUMPING EQUIPMENT MANUFACTURING,2012,"$59,519.28"
BOOK STORES,2012,"$59,380.20"
ENVELOPE MANUFACTURING,2012,"$59,049.16"
INDUSTRIAL AND COMMERCIAL FAN AND BLOWER MANUFACTURING,2012,"$58,910.00"
ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING,2012,"$58,196.69"
PRINTED CIRCUIT ASSEMBLY (ELECTRONIC ASSEMBLY) MANUFACTURING,2012,"$56,420.00"
FURNITURE STORES,2012,"$55,601.92"
ADMINISTRATION OF GENERAL ECONOMIC PROGRAMS,2012,"$54,891.00"
TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) MERCHANT WHOLESALERS,2012,"$54,243.87"
HOME HEALTH EQUIPMENT RENTAL,2012,"$53,758.00"
ART DEALERS,2012,"$53,298.00"
AIR AND GAS COMPRESSOR MANUFACTURING,2012,"$52,504.55"
"EXECUTIVE AND LEGISLATIVE OFFICES, COMBINED",2012,"$52,352.53"
POWER-DRIVEN HANDTOOL MANUFACTURING,2012,"$52,065.04"
BLANK MAGNETIC AND OPTICAL RECORDING MEDIA MANUFACTURING,2012,"$51,741.53"
ALL OTHER RUBBER PRODUCT MANUFACTURING,2012,"$51,390.80"
METAL TANK (HEAVY GAUGE) MANUFACTURING,2012,"$51,120.92"
ALL OTHER SUPPORT ACTIVITIES FOR TRANSPORTATION,2012,"$50,684.19"
ETHYL ALCOHOL MANUFACTURING,2012,"$50,494.72"
FIRE PROTECTION,2012,"$50,136.31"
SUPPORT ACTIVITIES FOR COAL MINING,2012,"$49,180.00"
FLORICULTURE PRODUCTION,2012,"$48,576.50"
FRAMING CONTRACTORS,2012,"$47,995.00"
WELDING AND SOLDERING EQUIPMENT MANUFACTURING,2012,"$46,719.07"
FARM AND GARDEN MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2012,"$46,661.58"
SPORTING GOODS STORES,2012,"$46,487.72"
GASOLINE STATIONS WITH CONVENIENCE STORES,2012,"$45,969.00"
OTHER MOTION PICTURE AND VIDEO INDUSTRIES,2012,"$45,721.32"
OTHER DIRECT SELLING ESTABLISHMENTS,2012,"$45,313.50"
GLASS PRODUCT MANUFACTURING MADE OF PURCHASED GLASS,2012,"$45,025.75"
OTHER INSURANCE FUNDS,2012,"$45,000.00"
OTHER ELECTRIC POWER GENERATION,2012,"$44,478.96"
PRINTING AND WRITING PAPER MERCHANT WHOLESALERS,2012,"$44,138.70"
MAIL-ORDER HOUSES,2012,"$44,127.15"
DIE-CUT PAPER AND PAPERBOARD OFFICE SUPPLIES MANUFACTURING,2012,"$40,994.46"
ADVERTISING MATERIAL DISTRIBUTION SERVICES,2012,"$40,977.40"
REUPHOLSTERY AND FURNITURE REPAIR,2012,"$40,763.91"
ALL OTHER GENERAL MERCHANDISE STORES,2012,"$38,216.01"
PRINTING INK MANUFACTURING,2012,"$37,908.00"
"ADMINISTRATION OF HUMAN RESOURCE PROGRAMS (EXCEPT EDUCATION, PUBLIC HEALTH, AND VETERANS' AFFAIRS PROGRAMS)",2012,"$37,856.50"
SUPPORT ACTIVITIES FOR FORESTRY,2012,"$37,384.00"
PROFESSIONAL EMPLOYER ORGANIZATIONS (FORMERLY EMPLOYEE LEASING SERVICES),2012,"$37,196.00"
RELIGIOUS ORGANIZATIONS,2012,"$36,865.04"
SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,2012,"$36,525.32"
FOLDING PAPERBOARD BOX MANUFACTURING,2012,"$36,277.38"
VITREOUS CHINA PLUMBING FIXTURE AND CHINA AND EARTHENWARE BATHROOM ACCESSORIES MANUFACTURING,2012,"$36,122.84"
GLOVE AND MITTEN MANUFACTURING,2012,"$35,604.53"
OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE,2012,"$35,570.53"
OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING,2012,"$35,395.82"
RADIO NETWORKS,2012,"$35,310.04"
SPACE RESEARCH AND TECHNOLOGY,2012,"$35,000.00"
"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",2012,"$34,391.50"
"ELECTRONIC COIL, TRANSFORMER, AND OTHER INDUCTOR MANUFACTURING",2012,"$34,254.50"
CONVEYOR AND CONVEYING EQUIPMENT MANUFACTURING,2012,"$34,120.84"
CELLULOSIC ORGANIC FIBER MANUFACTURING,2012,"$32,997.00"
CATERERS,2012,"$32,958.89"
OFFICES OF CHIROPRACTORS,2012,"$32,772.00"
"PIECE GOODS, NOTIONS, AND OTHER DRY GOODS MERCHANT WHOLESALERS",2012,"$32,470.39"
COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE WHOLESALERS,2012,"$32,461.50"
JUNIOR COLLEGES,2012,"$31,200.00"
ELECTRON TUBE MANUFACTURING,2012,"$31,116.06"
FINISH CARPENTRY CONTRACTORS,2012,"$30,883.00"
OTHER CHEMICAL AND FERTILIZER MINERAL MINING,2012,"$30,738.00"
CONSTRUCTION AND MINING (EXCEPT OIL WELL) MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2012,"$30,371.52"
OTHER PERSONAL CARE SERVICES,2012,"$30,050.00"
MEAT AND MEAT PRODUCT MERCHANT WHOLESALERS,2012,"$30,000.00"
PASSENGER CAR RENTAL,2012,"$30,000.00"
ADMINISTRATION OF AIR AND WATER RESOURCE AND SOLID WASTE MANAGEMENT PROGRAMS,2012,"$29,468.50"
COATED AND LAMINATED PACKAGING PAPER MANUFACTURING,2012,"$29,367.00"
"METAL COATING, ENGRAVING (EXCEPT JEWELRY AND SILVERWARE), AND ALLIED SERVICES TO MANUFACTURERS",2012,"$29,226.80"
COIN-OPERATED LAUNDRIES AND DRYCLEANERS,2012,"$28,902.30"
MOTOR VEHICLE SUPPLIES AND NEW PARTS MERCHANT WHOLESALERS,2012,"$28,724.06"
PRIMARY BATTERY MANUFACTURING,2012,"$28,011.00"
TRUCK TRAILER MANUFACTURING,2012,"$27,707.37"
MEASURING AND DISPENSING PUMP MANUFACTURING,2012,"$27,549.97"
"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",2012,"$27,427.02"
FOOD (HEALTH) SUPPLEMENT STORES,2012,"$27,206.95"
"CORPORATE, SUBSIDIARY, AND REGIONAL MANAGING OFFICES",2012,"$27,131.00"
INDUSTRIAL VALVE MANUFACTURING,2012,"$26,561.00"
ALL OTHER NONMETALLIC MINERAL MINING,2012,"$26,500.00"
LIVESTOCK MERCHANT WHOLESALERS,2012,"$25,699.00"
MISCELLANEOUS FINANCIAL INVESTMENT ACTIVITIES,2012,"$25,500.00"
INDUSTRIAL DESIGN SERVICES,2012,"$24,999.17"
FLUID POWER VALVE AND HOSE FITTING MANUFACTURING,2012,"$24,910.00"
GENERAL RENTAL CENTERS,2012,"$24,875.88"
"SOIL PREPARATION, PLANTING, AND CULTIVATING",2012,"$24,680.00"
"LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL MERCHANT WHOLESALERS",2012,"$24,000.00"
"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL",2012,"$23,606.53"
HOUSEHOLD REFRIGERATOR AND HOME FREEZER MANUFACTURING,2012,"$23,466.20"
AUTOMOTIVE OIL CHANGE AND LUBRICATION SHOPS,2012,"$23,400.00"
TEXTILE AND FABRIC FINISHING (EXCEPT BROADWOVEN FABRIC) MILLS,2012,"$23,169.18"
NATURAL GAS LIQUID EXTRACTION,2012,"$22,751.81"
CURRENT-CARRYING WIRING DEVICE MANUFACTURING,2012,"$22,500.00"
MANIFOLD BUSINESS FORMS PRINTING,2012,"$22,241.82"
INORGANIC DYE AND PIGMENT MANUFACTURING,2012,"$21,670.11"
LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING,2012,"$21,532.79"
OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,2012,"$20,950.00"
CONSTRUCTION SAND AND GRAVEL MINING,2012,"$20,446.86"
ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES,2012,"$19,720.04"
STORAGE BATTERY MANUFACTURING,2012,"$19,217.85"
WOOD CONTAINER AND PALLET MANUFACTURING,2012,"$19,024.20"
OUTDOOR POWER EQUIPMENT STORES,2012,"$18,950.12"
VIDEO TAPE AND DISC RENTAL,2012,"$18,646.02"
STRUCTURAL STEEL AND PRECAST CONCRETE CONTRACTORS,2012,"$18,600.00"
SETUP PAPERBOARD BOX MANUFACTURING,2012,"$18,424.84"
IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,2012,"$18,377.30"
ORNAMENTAL AND ARCHITECTURAL METAL WORK MANUFACTURING,2012,"$18,326.79"
PLATE WORK MANUFACTURING,2012,"$18,143.50"
TURBINE AND TURBINE GENERATOR SET UNITS MANUFACTURING,2012,"$16,991.00"
HOUSEHOLD APPLIANCE STORES,2012,"$16,002.79"
ALL OTHER CONSUMER GOODS RENTAL,2012,"$15,988.16"
"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LONG-DISTANCE",2012,"$15,364.37"
METAL WINDOW AND DOOR MANUFACTURING,2012,"$15,000.00"
FLUID MILK MANUFACTURING,2012,"$14,800.00"
FLUID POWER PUMP AND MOTOR MANUFACTURING,2012,"$14,752.50"
OTHER URBAN TRANSIT SYSTEMS,2012,"$14,750.00"
POWER BOILER AND HEAT EXCHANGER MANUFACTURING,2012,"$14,611.50"
RECYCLABLE MATERIAL MERCHANT WHOLESALERS,2012,"$14,600.00"
LEGISLATIVE BODIES,2012,"$14,590.88"
CLOTHING ACCESSORIES STORES,2012,"$14,295.00"
"ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS",2012,"$14,280.00"
OTHER CLOTHING STORES,2012,"$14,092.09"
ELECTRONIC CONNECTOR MANUFACTURING,2012,"$14,057.30"
OTHER TELECOMMUNICATIONS,2012,"$14,000.00"
OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,2012,"$13,630.37"
OTHER MAJOR HOUSEHOLD APPLIANCE MANUFACTURING,2012,"$13,447.47"
PACKING AND CRATING,2012,"$13,300.00"
"JEWELRY, WATCH, PRECIOUS STONE, AND PRECIOUS METAL MERCHANT WHOLESALERS",2012,"$12,720.00"
"WOMEN'S AND GIRLS' CUT AND SEW SUIT, COAT, TAILORED JACKET, AND SKIRT MANUFACTURING",2012,"$12,584.08"
CUTTING TOOL AND MACHINE TOOL ACCESSORY MANUFACTURING,2012,"$12,405.01"
FLOOR LAYING AND OTHER FLOOR CONTRACTORS,2012,"$12,333.49"
METAL HOUSEHOLD FURNITURE MANUFACTURING,2012,"$12,270.40"
PAPER INDUSTRY MACHINERY MANUFACTURING,2012,"$12,190.30"
SOLID WASTE LANDFILL,2012,"$12,030.00"
DRILLING OIL AND GAS WELLS,2012,"$12,002.00"
SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,2012,"$12,000.00"
OPTICAL GOODS STORES,2012,"$11,922.00"
RUBBER AND PLASTICS FOOTWEAR MANUFACTURING,2012,"$11,824.07"
WHOLESALE TRADE AGENTS AND BROKERS,2012,"$11,789.00"
"MOTORCYCLE, ATV, AND PERSONAL WATERCRAFT DEALERS",2012,"$11,647.21"
OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,2012,"$11,580.00"
PASSENGER CAR LEASING,2012,"$11,466.48"
BUSINESS TO BUSINESS ELECTRONIC MARKETS,2012,"$11,230.06"
"WATCH, CLOCK, AND PART MANUFACTURING",2012,"$11,000.00"
TOY AND HOBBY GOODS AND SUPPLIES MERCHANT WHOLESALERS,2012,"$10,938.42"
CASINO HOTELS,2012,"$10,614.00"
"BROOM, BRUSH, AND MOP MANUFACTURING",2012,"$10,601.73"
HOME FURNISHING MERCHANT WHOLESALERS,2012,"$10,592.81"
PAINT AND COATING MANUFACTURING,2012,"$10,450.53"
PLASTICS BOTTLE MANUFACTURING,2012,"$10,324.10"
ALL OTHER AUTOMOTIVE REPAIR AND MAINTENANCE,2012,"$10,258.20"
AUTOMOTIVE PARTS AND ACCESSORIES STORES,2012,"$10,235.57"
ALL OTHER HEALTH AND PERSONAL CARE STORES,2012,"$9,753.86"
COATED AND LAMINATED PAPER MANUFACTURING,2012,"$9,686.56"
SHELLFISH FISHING,2012,"$9,600.00"
SEMICONDUCTOR MACHINERY MANUFACTURING,2012,"$9,250.00"
TAXI SERVICE,2012,"$9,234.91"
ALL OTHER METAL ORE MINING,2012,"$8,974.50"
PLUMBING FIXTURE FITTING AND TRIM MANUFACTURING,2012,"$8,701.49"
COMMERCIAL BAKERIES,2012,"$8,692.45"
ALL OTHER TRAVELER ACCOMMODATION,2012,"$8,666.67"
SYNTHETIC ORGANIC DYE AND PIGMENT MANUFACTURING,2012,"$8,602.64"
PREFABRICATED WOOD BUILDING MANUFACTURING,2012,"$8,580.00"
SHEET METAL WORK MANUFACTURING,2012,"$8,557.45"
PACKAGED FROZEN FOOD MERCHANT WHOLESALERS,2012,"$8,264.00"
MOTION PICTURE AND VIDEO DISTRIBUTION,2012,"$8,217.00"
READY-MIX CONCRETE MANUFACTURING,2012,"$8,195.00"
FABRICATED STRUCTURAL METAL MANUFACTURING,2012,"$8,120.00"
TILE AND TERRAZZO CONTRACTORS,2012,"$8,100.00"
DRYWALL AND INSULATION CONTRACTORS,2012,"$7,837.00"
THEATER COMPANIES AND DINNER THEATERS,2012,"$7,800.00"
FUNERAL HOMES AND FUNERAL SERVICES,2012,"$7,600.00"
GRAIN AND FIELD BEAN MERCHANT WHOLESALERS,2012,"$7,431.20"
TIRE MANUFACTURING (EXCEPT RETREADING),2012,"$7,316.50"
CUT STONE AND STONE PRODUCT MANUFACTURING,2012,"$7,228.50"
INDUSTRIAL MOLD MANUFACTURING,2012,"$7,200.00"
FOOD PRODUCT MACHINERY MANUFACTURING,2012,"$7,142.50"
REGULATION AND ADMINISTRATION OF TRANSPORTATION PROGRAMS,2012,"$7,077.00"
ALL OTHER CUT AND SEW APPAREL MANUFACTURING,2012,"$7,055.56"
INTERNET SERVICE PROVIDERS,2012,"$6,887.20"
OIL AND GAS FIELD MACHINERY AND EQUIPMENT MANUFACTURING,2012,"$6,781.40"
DIET AND WEIGHT REDUCING CENTERS,2012,"$6,510.00"
SUPPORT ACTIVITIES FOR METAL MINING,2012,"$6,487.00"
"CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",2012,"$6,251.00"
RESIDENTIAL PROPERTY MANAGERS,2012,"$6,250.00"
HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING,2012,"$6,090.72"
GUM AND WOOD CHEMICAL MANUFACTURING,2012,"$5,998.00"
COMPUTER TERMINAL MANUFACTURING,2012,"$5,974.00"
"KITCHEN UTENSIL, POT, AND PAN MANUFACTURING",2012,"$5,863.50"
OTHER DEPOSITORY CREDIT INTERMEDIATION,2012,"$5,733.30"
"NURSERY, GARDEN CENTER, AND FARM SUPPLY STORES",2012,"$5,591.86"
ENAMELED IRON AND METAL SANITARY WARE MANUFACTURING,2012,"$5,560.96"
LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,2012,"$5,475.20"
AIR TRAFFIC CONTROL,2012,"$5,457.00"
"HOBBY, TOY, AND GAME STORES",2012,"$5,183.40"
HAND AND EDGE TOOL MANUFACTURING,2012,"$5,180.58"
ALL OTHER SPECIALTY FOOD STORES,2012,"$5,000.10"
POLITICAL ORGANIZATIONS,2012,"$4,900.00"
MUSIC PUBLISHERS,2012,"$4,884.00"
WINDOW TREATMENT STORES,2012,"$4,839.24"
BUSINESS AND SECRETARIAL SCHOOLS,2012,"$4,795.00"
PORCELAIN ELECTRICAL SUPPLY MANUFACTURING,2012,"$4,542.90"
RESIDENTIAL REMODELERS,2012,"$4,121.06"
ADMINISTRATION OF CONSERVATION PROGRAMS,2012,"$4,083.00"
PREPRESS SERVICES,2012,"$4,060.00"
ALL OTHER MOTOR VEHICLE PARTS MANUFACTURING,2012,"$3,662.70"
MEN'S AND BOYS' CUT AND SEW APPAREL CONTRACTORS,2012,"$3,596.05"
"GAME, TOY, AND CHILDREN'S VEHICLE MANUFACTURING",2012,"$3,560.00"
BITUMINOUS COAL AND LIGNITE SURFACE MINING,2012,"$3,416.20"
"BLANKBOOK, LOOSELEAF BINDERS, AND DEVICES MANUFACTURING",2012,"$3,360.90"
INTERNATIONAL AFFAIRS,2012,"$3,357.00"
INSURANCE AGENCIES AND BROKERAGES,2012,"$3,307.87"
HOUSEHOLD FURNITURE (EXCEPT WOOD AND METAL) MANUFACTURING,2012,"$3,242.90"
LOGGING,2012,"$3,053.41"
COSTUME JEWELRY AND NOVELTY MANUFACTURING,2012,"$2,832.49"
MARKING DEVICE MANUFACTURING,2012,"$2,310.00"
ARMORED CAR SERVICES,2012,"$2,180.00"
OTHER NONHAZARDOUS WASTE TREATMENT AND DISPOSAL,2012,$982.73
DANCE COMPANIES,2012,$850.00
PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,2012,$500.00
TELEVISION BROADCASTING,2012,$400.00
OTHER ACTIVITIES RELATED TO REAL ESTATE,2012,$390.00
CONVENIENCE STORES,2012,$178.05
BLIND AND SHADE MANUFACTURING,2012,$0.00
CERAMIC WALL AND FLOOR TILE MANUFACTURING,2012,$0.00
DISCOUNT DEPARTMENT STORES,2012,$0.00
DOG AND CAT FOOD MANUFACTURING,2012,$0.00
FREESTANDING AMBULATORY SURGICAL AND EMERGENCY CENTERS,2012,$0.00
MUSICAL INSTRUMENT AND SUPPLIES STORES,2012,$0.00
"PAINT, VARNISH, AND SUPPLIES MERCHANT WHOLESALERS",2012,$0.00
"PLASTICS, FOIL, AND COATED PAPER BAG MANUFACTURING",2012,$0.00
POLYSTYRENE FOAM PRODUCT MANUFACTURING,2012,$0.00
POULTRY HATCHERIES,2012,$0.00
PRIVATE HOUSEHOLDS,2012,$0.00
REPOSSESSION SERVICES,2012,$0.00
ROLLING MILL MACHINERY AND EQUIPMENT MANUFACTURING,2012,$0.00
RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING,2012,$0.00
"SCALE AND BALANCE MANUFACTURING (2007), SCALE AND BALANCE (EXCEPT LABORATORY) MANUFACTURING (2002)",2012,$0.00
SHIP BUILDING AND REPAIRING,2012,$0.00
"SPEED CHANGER, INDUSTRIAL HIGH-SPEED DRIVE, AND GEAR MANUFACTURING",2012,$0.00
TOBACCO FARMING,2012,$0.00
INTEGRATED RECORD PRODUCTION/DISTRIBUTION,2012,$-4.00
DIRECT PROPERTY AND CASUALTY INSURANCE CARRIERS,2012,$-25.82
AIRCRAFT MANUFACTURING,2012,$-41.89
ANIMAL (EXCEPT POULTRY) SLAUGHTERING,2012,$-296.40
MUSICAL GROUPS AND ARTISTS,2012,$-750.00
AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,2012,$-921.00
"GASKET, PACKING, AND SEALING DEVICE MANUFACTURING",2012,"$-1,489.48"
LAND SUBDIVISION,2012,"$-2,000.00"
LANDSCAPE ARCHITECTURAL SERVICES,2012,"$-2,172.88"
CARPET AND UPHOLSTERY CLEANING SERVICES,2012,"$-2,737.98"
OTHER GROCERY AND RELATED PRODUCTS MERCHANT WHOLESALERS,2012,"$-4,114.96"
FRESH AND FROZEN SEAFOOD PROCESSING,2012,"$-6,389.68"
FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS,2012,"$-8,249.85"
OTHER WASTE COLLECTION,2012,"$-8,326.49"
UPHOLSTERED HOUSEHOLD FURNITURE MANUFACTURING,2012,"$-9,123.88"
NONRESIDENTIAL PROPERTY MANAGERS,2012,"$-9,753.89"
CUSTOM COMPOUNDING OF PURCHASED RESINS,2012,"$-11,800.00"
OTHER CONSTRUCTION MATERIAL MERCHANT WHOLESALERS,2012,"$-13,239.34"
OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING,2012,"$-13,350.00"
"OTHER JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES",2012,"$-15,770.00"
COMMERCIAL FLEXOGRAPHIC PRINTING,2012,"$-19,470.91"
OTHER NONSCHEDULED AIR TRANSPORTATION,2012,"$-25,000.00"
OFFICES OF REAL ESTATE AGENTS AND BROKERS,2012,"$-25,097.50"
GRANTMAKING FOUNDATIONS,2012,"$-27,503.00"
"DRY, CONDENSED, AND EVAPORATED DAIRY PRODUCT MANUFACTURING",2012,"$-31,889.51"
SCALE AND BALANCE MANUFACTURING,2012,"$-35,279.69"
ON-LINE INFORMATION SERVICES,2012,"$-56,909.81"
"PRERECORDED COMPACT DISC (EXCEPT SOFTWARE), TAPE, AND RECORD REPRODUCING",2012,"$-65,776.50"
FARM PRODUCT WAREHOUSING AND STORAGE,2012,"$-74,100.00"
SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,2012,"$-90,834.17"
LANGUAGE SCHOOLS,2012,"$-165,541.31"
SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,2012,"$-587,241.91"
